k_max,k_min,k_tau,form_alpha,form_win,margin_a,margin_b,log_loss,brier
40,16,10,3.0,6,0.18,2.2,0.6732688480572677,0.24031933067117023
36,12,20,2.5,10,0.22,2.6,0.6732703867167036,0.24039332578134548
32,12,10,3.0,10,0.18,2.2,0.6732808382143158,0.24030983171569498
40,16,10,2.5,14,0.15,2.2,0.6732830126910242,0.24039481308470817
32,12,10,3.0,14,0.15,2.6,0.6732831988410196,0.24033249121326
40,12,10,2.0,6,0.18,1.8,0.6732843156475441,0.24028763277987183
32,12,10,3.0,14,0.18,1.8,0.6732875763738142,0.24033393486899307
40,16,15,3.0,14,0.18,2.2,0.6732934757212793,0.2404874617905836
40,12,15,2.5,6,0.18,2.2,0.6732978526964004,0.24033225023503696
36,12,15,2.5,10,0.18,2.2,0.6732981205100693,0.24035264964540895
40,12,10,2.0,10,0.15,1.8,0.6732990496427341,0.24032534382532028
36,16,15,3.0,14,0.22,2.6,0.6733015779895196,0.2404710583595862
36,12,15,3.0,6,0.18,2.6,0.673305469111829,0.24033557521702234
36,12,10,2.5,6,0.18,2.2,0.6733088107121643,0.2402992132633147
40,16,10,2.5,6,0.22,2.2,0.6733133549355309,0.24037549075125494
40,16,10,2.5,10,0.15,2.6,0.6733168288462383,0.24037784787760505
40,12,15,2.5,10,0.15,1.8,0.6733193473982547,0.24036639261827686
36,12,15,2.0,14,0.22,2.6,0.6733232026970387,0.24038837350796263
40,20,10,3.0,10,0.22,2.2,0.6733269982788257,0.24047262171320005
36,16,10,2.5,14,0.22,2.6,0.6733353351174441,0.24041588893843444
40,12,20,2.0,14,0.22,2.6,0.6733394049547805,0.2404747222314172
40,12,20,3.0,14,0.15,2.6,0.6733484038137415,0.24050590042387562
40,12,15,2.0,6,0.22,2.2,0.6733542974256891,0.24038836982075049
36,12,20,3.0,14,0.18,2.6,0.6733589387558195,0.24047747409356343
40,12,15,2.0,14,0.15,2.6,0.6733615651914135,0.2404209894615675
36,12,15,2.5,6,0.22,2.6,0.6733616621069085,0.2403908074977159
40,12,20,2.5,14,0.18,2.6,0.6733653106040041,0.24050119037187268
40,12,10,1.5,14,0.22,1.8,0.673369002487848,0.24037377258663079
32,12,15,3.0,14,0.22,1.8,0.6733717934397183,0.24041086459387723
