MatchID,Date,BeyA,BeyB,ScoreA,ScoreB,PreA,PreB,PostA,PostB,arena,elo_arena_updated,MatchType,SeasonID,Tier,Matchday,KBaseA,KBaseB,KEffA,KEffB,ExpA,ExpB,ActA,ActB,FormEmaA,FormEmaB
M0104,2025-12-11,TuskMammoth,LeonCrest,4,1,1058.83,974.69,1069.33,963.93,Xtreme,Xtreme,exhibition,,,,27.3667,33.446,37.7255,38.6335,0.6188,0.3812,0.8971,0.1029,0.1262,-0.0517
M0105,2025-12-11,CerberusFlame,BlackShell,4,1,1069.68,986.96,1082.33,976.55,Xtreme,Xtreme,exhibition,,,,30.769,32.0629,45.1491,37.1458,0.6169,0.3831,0.8971,0.1029,0.1558,-0.0528
M0106,2025-12-11,FoxBrush,DranBrave,0,4,1121.24,947.47,1095.6,981.32,Xtreme,Xtreme,exhibition,,,,24.5812,32.0629,35.0772,46.2984,0.7311,0.2689,0.0,1.0,0.1423,-0.148
M0107,2025-12-11,PhoenixWing,CobaltDragoon,5,3,997.44,1052.86,1011.54,1035.29,Xtreme,Xtreme,exhibition,,,,30.769,29.5585,33.236,41.4478,0.4209,0.5791,0.8449,0.1551,-0.0267,0.1341
M0108,2025-12-11,KnightMail,ScorpioSpear,2,4,1026.74,997.13,1012.74,1009.13,Xtreme,Xtreme,exhibition,,,,32.0629,30.769,36.1343,30.9832,0.5425,0.4575,0.1551,0.8449,0.0423,0.0023
M0109,2025-12-11,ImpactDrake,PhoenixRudder,4,1,1100.84,996.45,1109.1,988.22,Xtreme,Xtreme,exhibition,,,,26.3757,30.769,32.8992,32.7677,0.6459,0.3541,0.8971,0.1029,0.0824,-0.0217
M0110,2025-12-11,SharkEdge,SamuraiSaber,4,2,987.04,924.46,995.84,911.3,Xtreme,Xtreme,exhibition,,,,32.0629,33.446,34.4172,51.436,0.5891,0.4109,0.8449,0.1551,-0.0245,-0.1793
M0111,2025-12-11,ImpactDrake,DranDagger,4,0,1109.1,1057.12,1123.35,1039.55,Xtreme,Xtreme,exhibition,,,,25.4485,28.4261,33.461,41.2695,0.5743,0.4257,1.0,0.0,0.1049,0.1506
M0112,2025-12-11,PhoenixWing,KnightMail,2,6,1011.54,1012.74,995.33,1028.76,Xtreme,Xtreme,exhibition,,,,29.5585,30.769,32.5173,32.1507,0.4983,0.5017,0.0,1.0,0.0334,-0.015
M0113,2025-12-11,DranBrave,TuskMammoth,3,5,981.32,1069.33,973.89,1077.71,Xtreme,Xtreme,exhibition,,,,30.769,26.3757,33.6101,37.9646,0.376,0.624,0.1551,0.8449,-0.0308,0.1465
M0114,2025-12-11,SharkEdge,CerberusFlame,4,3,995.84,1082.33,1010.19,1062.19,Xtreme,Xtreme,exhibition,,,,30.769,29.5585,31.959,44.8445,0.378,0.622,0.8271,0.1729,0.0129,0.1724
